name,,description,cuisine,course,diet,prep_time,ingredients,instructions
Thayir Semiya Recipe (Curd Semiya),,"Thayir Semiya or Curd Vermicelli is a quick dish which you can make for lunch. If you are bored of eating curd rice everyday, you can always make this Thayir semiya or curd semiya for a change. In South India, people consume curd everyday.ï¿",Indian,Lunch,Vegetarian,Total in 35 M,"

							 		1/2 cup Semiya (Vermicelli)							 		, roasted							 	

							 		1 cup Curd (Dahi / Yogurt) 
For tempering

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/2 teaspoon White Urad Dal (Split) 

							 		pinch Asafoetida (hing) 

							 		1 sprig Curry leaves 

							 		2 teaspoon Oil 

Raw Peanuts (Moongphali) 

							 		1 sprig Curry leaves 

							 		2 teaspoon Oil 

							 		5 to 6 Cashew nuts							 		, for garnishing							 	
","To begin making the Thayir Semiya recipe, firstly boil the vermicelli in 2 cups water. Drain it and spread on a colander.Pass cold water through it. This ensures that the vermicelli does not become sticky. Keep it aside and let it cool down.Heat a kadai/wok and add oil. Add the peanuts and roast till it turns brownish. Remove and keep it aside.In the same kadai, add more oil if needed and add the mustard seeds and after it splutters add the other ingredients meant for tempering.Add the boiled vermicelli and mix everything. Add salt to taste and mix.Finally just before serving add curd and mix well.ï¿½ï¿½Serve Thayir Semiya on its own for a light and healthy lunch or di"
Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal,,ýýChettinad Style Kara Kuzhambu Recipe with Potato and Brinjal is a finger licking good recipe made the Chettinad way.ýý,South Indian Recipes,Lunch,Vegetarian,Total in 75 M,"
For ground masala

							 		1/4 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		2 teaspoons Coriander (Dhania) Seeds 

							 		1 teaspoon Fennel seeds (Saunf) 

							 		2 Dry Red Chillies 

							 		1/4 cup Fresh coconut							 		, grated							 	
For the Kuzhambu

							 		1/2 cup Pearl onions (Sambar Onions)							 		, quartered							 	

							 		5 cloves Garlic							 		, finely chopped							 	

							 		2 Tomatoes							 		, finely chopped							 	

							 		2 Potatoes (Aloo)							 		, cut into medium sized pieces							 	

							 		2 Brinjal (Baingan / Eggplant)							 		, cut into wedges							 	

							 		1 tablespoon Jaggery 

							 		1 cup Tamarind Water 

							 		1 teaspoon Sambar Powder 
For seasoning

							 		1 teaspoon Gingelly oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		2 sprig Curry leaves 
","To begin making the Chettinad Style Kara Kuzhambu Recipe, we will first make the masala.ï¿½ï¿½Heat a small pan on medium heat; add fenugreek seeds, coriander seeds, fennel seeds, red chillies. Roast these spices until the aroma wafts in the air. Stir in the freshly grated coconut and roast for another 2 to 3 minutes.ï¿½ï¿½Turn off the heat and allow the spices to cool. Transfer the spices into a mixer jar, add 1/2 cup warm water and grind to make a smooth paste.To cook the kara kuzhambu, heat oil in a pressure cooker over medium heat; add the onion, garlic and saute for a few minutes until the onion softens. Add the chopped tomatoes and saute until the tomatoes are mushy.Stir in the potatoes, brinjal, jaggery, tamarind water, sambar powder and salt. Pressure cook for 3 to whistles and turn off the heat and allow the pressure to release naturally.In the meantime, make the seasoning; heat oil in a tadka pan; add the mustard seeds and curry leaves and allow it to crackle. Turn off the heat and keep aside.ï¿½ï¿½Osure releases, stir in the coconut mixture, the seasoning mixture and give the Chetinnad Kara Kuzhambu a brisk boil for 3 to 4 minutes. Check the salt and adjust according to taste.Serve hot Chettinadu Style Potato Kaarakozhambu along withï¿½ï¿½Steamed Rice,ï¿½ï¿½Beetroot Thoranï¿½ï¿½andï¿½ï¿½Elai Vadamï¿½ï¿"
Goan Chana Ros Recipe (White Peas Curry),,"Goan Chana Ros is a vegetarian dish from Goan cuisine made with dried white peas (safed vatana). In Ros recipes, we add freshly grated coconut, instead of roasted coconut which is used for many other Goan dishes. Simply roast the spices and grind along with freshly grated coconut and add to the boiled white peas to prepare this recipe. Serve Goan Chana Ros recipe with steamed rice, Kelyachyo Fodi (banana) to have a nice Goan vegetarian meal. You can also serve chana Ros with bread and rotis, but we prefer to have it as a side dish with rice.",Goan Recipes,Lunch,Vegetarian,Total in 530 M,"

							 		1/2 cup Dried Green Peas (Vatana)							 		, soaked overnight							 	

							 		1/2 Onion							 		, chopped							 	

							 		3 tablespoon Fresh coconut							 		, grated							 	

							 		4 Dry Red Chillies 

							 		1-1/2 teaspoon Coriander (Dhania) Seeds 

							 		3 Cloves (Laung) 

							 		1 inch Tamarind 

							 		1/2 teaspoon Turmeric powder (Haldi) 

Salt							 		, to taste							 	
","To prepare Goan Chana Ros recipe, soak the white peas in water for 8 hours or overnight.Pressure cook the white peas along with chopped onions by adding 1 cup water for 4-5 whistles or till boiled. Let the pressure from pressure cooker get released on its own.Dry roast coriander seeds, dry red chilies and cloves together, till nice aroma gets emitted from coriander seeds. Let it cool down.Take a Mixer and add grated coconut, tamarind and dry roasted spices. Add 1/2 to 3/4 cup water and grind this into a smooth paste.Now take a Kadai and add the ground gravy to it. Switch on the gas and keep it on low flame.After 5 minutes, add the boiled white peas along with onion to the gravy and mix well. If the gravy is thick, add remaining water from the pressure cooker and mix.Add salt to taste and simmer for 10 minutes before switching off the gas.Serve Goan Chana Ros recipe withï¿½ï¿½hot rice,ï¿½ï¿½Kelyachyo Fodi "
Minced Meat And Egg Croquettes Recipe,,"The croquette is usually cigar shaped or cylindrical. A fried cylindrical roll that has one of following stuffing minced meat, boiled eggs, fish, vegetables. Today I am sharing a croquette recipe that used minced meat as the main ingredient instead of potato and whole boiled eggs used for stuffing. Its one of those delicious appetisers that you would be happy to serve to your guests. Itï¿½ï¿½ï¿½s so good and easy to make. Since I used minced mutton I cooked the meat first with spices and then shaped it into cylindrical with boiled eggs as stuffing, rolled in floor, eggs wash and bread crumbs then deep fri",North Indian Recipes,Appetizer,Non Vegeterian,Total in 55 M,"

							 		500 grams Mutton							 		, minced							 	

							 		4 Whole Eggs							 		, boiled and peeled							 	

							 		1 Onion							 		, finely chopped							 	

							 		1 teaspoon Ginger Garlic Paste 

							 		1 tablespoon Red Chilli powder 

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Cumin powder (Jeera) 

							 		1-1/2 teaspoon Coriander Powder (Dhania) 

Salt							 		, Salt to taste							 	

							 		1 tablespoon Oil 

Water							 		, if required							 	

							 		2 tablespoon All Purpose Flour (Maida) 

							 		2 Whole Eggs							 		, beaten							 	

							 		1/4 cup Whole Wheat Bread crumbs 

Oil							 		, for deep frying							 	
","To begin making the Minced Meat And Egg Croquettes recipe, heat oil in a heavy bottomed pan. Add finely chopped onion sautï¿½ï¿½ until onions turn translucent.Add ginger garlic paste and cook till the raw smell of the paste goes off. Add the spice powders and salt mix well.Add minced mutton and cook for 5 minutes. Mutton will release its juices. I cooked the meat in its own juices without adding any water.Took about 30 minutes to get it fully cooked. Remove from stove and cool completely.Heat oil for deep frying in a deep fry pan. Divide the minced mutton mixture into 4 equal portions.Take one portion and place it in your palm, press and try to get it together.Slightly flatten it and place one full boiled egg in the middle and gather the meat to cover the egg fully. Try to shape it into cylindrical shape.If you find it too hard to handle the meat to shape it, try adding 1 or 2 teaspoon of beaten egg and work with the meat.Roll the croquettes in flour first, then dip it in egg and then roll with bread crumbs.Rt this for all the meat. Deep fry the croquettes until golden brown in oil. Remove of kitchen paper.Serve Minced Meat And Egg Croquettes hot withï¿½ï¿½Tomato Garlic Chutneyï¿½ï¿½or any dipping sauce of your"
Thekera Tenga Recipe,,"Thekera Tenga is a Sour curry from Assamese cuisine. Thekera is a fruit that is dried and used as a souring agent in Assamese dishes. Few pieces of thekera are soaked in warm water and are used in the dishes. However, lemon and tomatoes are also used as souring agents. The tenga ( sour curry) is usually served at the end of a meal. Usually fish is fried and used in the dish, but in this vegetarian version, I have roasted potato slices and added it to the tenga. Simple, rustic and delicious Thekera Tenga can be served along with steaming hot rice or rotis.",Assamese,Dinner,Vegetarian,Total in 30 M,"

							 		4 Potatoes (Aloo)							 		, thinly sliced							 	

							 		1 tablespoon Mustard oil 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1 tablespoon Rice flour							 		, or 1 mashed potato							 	

							 		2 teaspoons Lemon juice							 		, or 3-4 thekera pieces soaked in 1/4 cup of water							 	

Salt							 		, to taste							 	
For tempering

							 		1 teaspoon Mustard oil 

							 		1 teaspoon Panch Phoran Masala 

							 		4 Green Chillies							 		, roughly chopped							 	

							 		4 sprig Coriander (Dhania) Leaves							 		, finely chopped							 	
","To begin making the Thekera Tenga recipe, Heat a wide pan with oil and shallow fry the potato pieces and set them aside.Heat oil and temper with ingredients given 'for tempering'.Add 1-2 cups of water, salt and turmeric powder .Mix rice flour with one tablespoon of water (or 1 mashed potato) and add it to the water mixture.ï¿½ï¿½When the mixture starts to thicken, add lemon juice ( or thekera water ) andï¿½ï¿½ the roasted potatoes.Cook over low flame for another 4-5 minutes and switch off.ï¿½ï¿½ Garnish with cilantro leaves and serve it along with flatbreads or rice.ï¿½ï¿½Serve Thekera Tenga along withï¿½ï¿½Steamed Riceï¿½"
Spicy Cabbage Rice Recipe (South Indian Style Mutta Kose Sadham Recipe),,Spicy Cabbage Rice takes very few ingredients to make and takes hardly 20 minutes to get prepared. This is a perfect recipe if you want to use your leftover rice and can be packed in your lunch box too. Serve Spicy Cabbage Rice Recipe with raita of your choice.,Indian,Lunch,Vegetarian,Total in 65 M,"

							 		2 cups Cooked rice 

Ghee							 		, or oil as required							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 Onion							 		, thinly sliced							 	

							 		1 cup Cabbage (Patta Gobi/ Muttaikose)							 		, shredded							 	

							 		2 Green Chillies							 		, finely chopped							 	

							 		1/2 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Sambar Powder 

Coriander (Dhania) Leaves							 		, few, finely chopped							 	

Salt							 		, to taste							 	
","To prepare Spicy Cabbage Rice recipe, firstly heat oil in a kadai. Add cumin seeds, green chillies and let it cook for 15 seconds.Next, add in the sliced onions and cook till they become soft and translucent.Add in the shredded cabbage, salt and turmeric powder. Cook till the cabbage becomes soft.Once it is done, add in the cooked rice, red chilli powder and the sambar powder. Mix everything well.Cover for 2 minutes. Open the lid, give it a stir and garnish with fresh coriander leaves.Serveï¿½ï¿½Spicy Cabbage Rice recipeï¿½ï¿½with raita of your"
Mullangi Poriyal Recipe ,,"Radish is called 'Mullangi' in Tamil. A juicy root vegetable , radish is filled with nutrients, vitamins and minerals. It is high in fibre and is most beneficial for weight loss. Radish is very effective in relieving one from constipation, respiratory disorders and blood pressure. Radish oil, leaves and seeds are used even for many medicinal preparations too. It is wise to include this vegetable in our daily diet. This Mullangi Curry recipe is a simple South Indian Style Stir fry that can be prepared with just a handful of ingredients.ï¿",Tamil Nadu,Dinner,Diabetic Friendly,Total in 40 M,"

							 		2 Mooli/ Mullangi (Radish)							 		, (cleaned, peeled & chopped)							 	

							 		1/8 teaspoon Turmeric powder (Haldi) 

							 		2 teaspoons Red Chilli powder 

							 		1 teaspoon Coriander Powder (Dhania) 

Salt							 		, to taste							 	
For tempering:

							 		1 tablespoon Sesame (Gingelly) Oil 

							 		1 teaspoon Chana dal (Bengal Gram Dal) 

							 		1 teaspoon Black Urad Dal (Split) 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 sprig Curry leaves 
","To prepare Mullangi Curry(South Indian Style Radish Stir Fry) Recipe, heat a pan with oil over low flame.Temper with all the tempering ingredients in the order given.Once tempered, add the radish and stir to mix.Add the turmeric powder, chilli powder, coriander powder and salt.Mix well, add half cup of water and cook covered till the radish cooks and becomes soft.Keep stirring occasionally for uniform cooking.Once the radish is soft, open the lid and cook on high, stirring continuously for 30-40 seconds and switch off.Your South Indian Style Mullangi Curry is ready to be served as a side dish with rasamï¿½ï¿½and steamed r"
Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry,,"Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curryï¿½ï¿½is aï¿½ï¿½wonderful way to prepare yam in Karwar style. It has all the flavors like sweet, tangy and spicy that will tingle the taste buds of your tongue. The yam is pressure cooked so that it will be slow cooked with all the spices which will bring out more ",Karnataka,Side Dish,Vegetarian,Total in 30 M,"

							 		500 grams Elephant yam (Suran/Senai/Ratalu)							 		, peeled and cut very small							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		10 Dry Red Chillies 

							 		1/2 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		pinch Asafoetida (hing) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 cup Tamarind Paste 

							 		1 teaspoon Jaggery							 		, pound							 	

Salt							 		, to taste							 	

Oil							 		, for cooking							 	
","To begin making theï¿½ï¿½Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry by heating a skillet with oil. Splutter the mustard seeds for few seconds.Then add asafoetida, turmeric powder, dry red chillies and fenugreek seeds. Roast them for few seconds and grind it into a smooth mixture using a mixer grinder.Heat the pressure cooker, add little oil and fry the yam pieces, add the ground spice mixture, then add the tamarind pulp and jaggery. Toss it well and coat it evenly. Check for seasoning as well.Pressure cook the yam for 4 whistles, let the pressure get released naturally. Pour it into a serving dish.Serve theï¿½ï¿½Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curryï¿½ï¿½as a side dish along withï¿½ï¿½Karwar Style Varan Kadhi Recipeï¿½ï¿½andï¿½ï¿½Steamed Riceï¿"
Malvani Fish Curry Recipe - Delicious And Spicy Fish Curry,,Malvani Style Fish Curry Recipe is a special dish that is originated western coastal region of India. Malvani cuisine has got its influence from both Maharashtra and Goa. ï¿½ï¿½They are typically non-vegetarian eater mainly seafood because of their close proximity to the ocean. As the fishermanï¿½ï¿½ï¿½s catch their fresh fishes that becomes a part of their ever,Malvani,Lunch,High Protein Non Vegetarian,Total in 40 M,"
For the Fish Curry

							 		1 inch Ginger							 		, finely chopped							 	

							 		4 cloves Garlic							 		, finely chopped							 	

							 		1 Onion							 		, finely chopped							 	

							 		2 Tomato							 		, finely chopped							 	

							 		1/2 cup Coconut milk 

							 		1/4 cup Tamarind Water 

							 		1 sprig Curry leaves 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon Mustard oil 

Salt							 		, to taste							 	
To Marinade

							 		2 King fish							 		, cut into flat fillet							 	

							 		1 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Cumin powder (Jeera) 

							 		1 teaspoon Coriander Powder (Dhania) 

							 		1 Lemon juice 

Salt							 		, to taste							 	
For the Malvani Masala

							 		1 teaspoon Coriander (Dhania) Seeds 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Fennel seeds (Saunf) 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		2 Cloves (Laung) 

							 		1 Bay leaf (tej patta) 

							 		1 pinch Nutmeg 

							 		1/2 teaspoon Whole Black Peppercorns 

							 		4 Dry Red Chillies 

							 		1 Star anise 
","To begin making the Malvani Fish Curry Recipe, we will first wash the king fish well with water, drain the water completely. Add in red chilli powder, turmeric, cumin powder, coriander powder, salt to taste and lemon juice. Give it a mix and marinate the fish for at least 30 minutes."
Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy),,"Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy) is a very classic tamil brahmin dish that is eaten along with puri's or chapatti. As a child I would not eat any potatoes apart from my favorite urulai kizhangu roast (potato roast), but now that I am all grown up and eaten things as bland as a leaf, I just love this dish. I love this dish for it tangy lemon and ginger flavors that get so well absorbed by the potatoes. The dish is made healthy using less oil, spiced just right to get the best flavors from the potatoes and the curry. Serve the Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy) along with Phulkas for a wholesome weeknight dinner.",Tamil Nadu,Side Dish,Vegan,Total in 60 M,"

							 		3 Potatoes (Aloo)							 		, boiled and cut into cubes							 	

							 		2 Green Chillies							 		, finely chopped							 	

							 		1 inch Ginger							 		, grated							 	

							 		5-6 Curry leaves							 		, finely chopped							 	

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Oil 

							 		1 Coriander (Dhania) Leaves							 		, small bunch, finely chopped							 	
","To begin making the Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy), we will first cook the potatoes until soft. Once soft, peel the potatoes and cut them into dices. Watch Video Recipe of How to Cook Potatoes in Pressure CookerThe next step is to spice up the potatoes to make the Masiyal.Heat a teaspoon of oil in a heavy bottom pan on medium heat; add the mustard seeds and the halved urad dal; allow them to crackle and theï¿½ï¿½dalï¿½ï¿½to turn light golden brown.Stir in the ginger, curry leaves, ï¿½ï¿½turmeric powder, greenStir in the ginger, curry leaves, ï¿½ï¿½turmeric powder, green chillies, boiled potatoes, salt along with 1 cup of water.ï¿½ï¿½Turn the heat to low and simmer the Urulai Kizhanguï¿½ï¿½for about 10 minutes. The mixture will look like aï¿½ï¿½mish mashï¿½ï¿½of potatoes.Finally stir in the lemon juice and freshly chopped coriander leaves. Check the salt and spice levels and adjust to suit your taste.Serve the Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemoPhulkasï¿½ï¿½for a wholesome weeknight din"
